ENGLISH,ARABIC,FRENCH,SPANISH
Cecina,لحم سيسينا المجفف,Cecina,Cecina
Celeriac,كرفس,Céleri rave,Apio nabo
Celery,كرفس,Céleri,Apio
Celery Flakes,رقائق الكرفس,Flocons de céleri,Trozos de apio
Celery Salt,ملح الكرفس,Sel de céleri,Sal de apio
Celery Seed,بذور الكرفس,Graine de céleri,Semilla de apio
Cellophane Noodles,نودلز السيلوفان,Nouilles cellophane,Noodles de celofán
Cellulose,السلولوز,Cellulose,Celulosa
Cellulose Gel,جل السليلوز,Gel de cellulose,Gel de celulosa
Cellulose Gum,صمغ السليلوز,Gomme de cellulose,Goma de celulosa
Cencioni,باستا سيسيوني,Cencioni,Cencioni
Cervelat,نقانق سيرفيلات,Cervelas,Cervelat
Ch'arki,لحم تشاركي المجفف,Ch'arki,Ch'arki
Chaas,لبن عيران,Chaas,Chaas
Chakki Atta Flour,طحين شاكي أتا,Farine de chakki atta,Harina de Chakki Atta 
Chal,,Chal,Chal
Chalap,شالاب,Chalap,Chalap
Chalk,طبشور,Craie,Tiza
Chalob,شلوب,Chalob,Chalob
Chambord,مشروب تشامبورد,Chambord,Chambord
Chamomile,بابونج,Camomille,Manzanilla
Champagne,شامبانيا,Champagne,Champagne
Chancliche Cheese,جبنة تشانكليش,Fromage de chancliche,Queso Chancliche
Channel Catfish,سمك السلور,Poisson chat,Pez gato
Chanterelle,فطر شانتيريل,Chanterelle,Cuerda
Chantilly Cream,كريمة شانتيلي,Crème Chantilly,Crema Chantilly
Chapati,شاباتي,Chapati,Chapati
Chapulines,جراد,Chapulines,Chapulines
Chard,السلق,Bettes,Acelga
Charkassiyea Cheese,جبنة شركسية,Fromage Charkassiyea,Queso Charkassiyea
Cheddar Cheese,جبنة الشيدر,Fromage cheddar,Queso cheddar
Cheddar Jack Cheese,جبنة شيدر جاك,Fromage cheddar jack,Queso cheddar jack
Cheddar Sauce,صلصة شيدر,Sauce cheddar,Salsa de queso cheddar
Cheerios,تشيريوس,Cheerios,Cheerios
Cheese,جبنه,Fromage,Queso
Cheese and Onion Pie,فطيرة الجبنة والبصل,Tarte aux oignons et au fromage,Tarta de cebolla y queso
Cheese Bun,كعكة الجبن,Pain au fromage,Pan con queso
Cheese Culture,ثقافة الجبن,Culture de fromage,Cultura del queso
Cheese Powder,مسحوق الجبن,Poudre de fromage,Queso en polvo
Cheesecake,تشيز كيك,Gâteau au fromage,Tarta de queso
Chelating Agents,عوامل كيلات,Agents chélateurs,Agentes quelantes
Chelsea Bun,خبز تشيلسي,Chelsea Bun,Chelsea Bun
Cheon Sa Chae,تشون سا تشاي,Nouilles Cheon Sa Che,Noodles Cheon Sa Chae
Cheonsachae,نودلز كورية,Nouilles Cheon Sa Che,Noodles Cheon Sa Chae
Cheonsache Noodles,نودلز كورية,Nouilles Cheon Sa Che,Noodles Cheon Sa Chae
Cherimoya,فاكهة القشطة,Chérimolier ,Chirimoya
Cherries Jubilee,حلى تشيري جوبيلي,Cerises jubilé,Cerezas jubileas
Cherry,كرز,Cerise,Cereza
Cherry Pepper,الفلفل الكرزي,Poivre cerise,Pimiento cereza
Cherry Pie,فطيرة الكرز,Tarte aux cerises,Pastel de cerezas
Cherry Wine,نبيذ الكرز,Vin de cerise,Vino de cereza
Chervil,البقدونس الإفرنجي,Cerfeuil,Perifollo
Cheshire Cheese,جبنة شيشاير,Fromage cheshire,Queso de Cheshire
Chess Pie,فطيرة الشطرنج,Tarte Chess,Tarta Chess
Chestnut Pie,فطيرة الكستناء,Tarte aux châtaignes,Tarta de castañas
Chewing Gum Base,أساس العلكة,Base de chewing gum,Base de goma de mascar
Chhaang,مشروب شانج,Chhaang,Chhaang
Chia Seed,بذور الشيا,Graine de chia,Semilla de chía
Chicha,مشروب التشيتشا,Chicha,Chicha
Chick Peas,حمص,Pois chiches,Garbanzos
Chicken,دجاج,Poulet,Pollo
Chicken and Mushroom Pie,فطيرة الدجاج بالفطر,Tarte au poulet et aux champignons,Empanada de pollo y champiñones
Chicken Bouillon Cube,مكعبات مرقة الدجاج,Cube de bouillon de poulet,Concentrado de caldo de pollo
Chicken fat,دهن الدجاج,Graisse de poulet,Grasa de pollo
Chicken meat,لحم دجاج,Viande de poulet,Carne de pollo
Chicken stock,ماء الدجاج,Bouillon de poulet,Caldo de pollo
Chicken Stock Cube,مكعبات مرقة الدجاج,Cube de bouillon de poulet,Caldo de Pollo en cubo
Chickpeas,حمص,Pois chiches,Garbanzos
Chicle,صمغ طبيعي,Chiclé,Chicle
Chicory,الهندباء البرية,Chicorée,Achicoria
Chicory Root Extract,مستخلص جذر الهندباء,Extrait de racine de chicorée,Extracto de raíz de achicoria
Chicory Root Fiber,ألياف جذر الهندباء,Fibre de racine de chicorée,Fibra de raíz de achicoria
Chicory Root Fibre,ألياف جذر الهندباء,Fibre de racine de chicorée,Fibra de raíz de achicoria
Chifferi,باستا شيفيري,Chifferi,Chifferi
Chiffon Cake,كعكة الشيفون,Gâteau Mousseline,Pastel Chifón
Chile,تشيلي,Chili,Chile
Chile Con Queso,تشيلي كون كويسو,Chili Con Queso,Chile con Queso
Chile Pepper,فلفل تشيلي,Poivre du Chili,Chile en polvo
Chilean Sea Bass,سمكة القاروس التشيلية,Légine australe,Lubina chilena
Chili,الفلفل الحار,Chili,Chile
Chili Pepper,الفلفل الحار,Piment,Chile
Chili Pepper Cayenne Pepper,الفلفل الحار ، الفلفل حريف,Piment de cayenne,Ají pimienta de Cayena
Chili Pepper Habanero,الفلفل الحار ، هابانيرو,Piment Habanero,Chile habanero
Chili Pepper Jalapeno,الفلفل الحار ، هالابينو,Piment jalapeno,Chile jalapeño
Chili Pepper Paprika,الفلفل الحار ، الفلفل الحلو,Piment Paprika,Pimentón
Chili Pepper Tabasco Pepper,الفلفل الحار والفلفل الحار,Piment Tabasco,Chile tabasco
Chili Powder,مسحوق الشطة,Poudre pimentée,Chile en polvo
Chilte,,Chilte,Chilte
Chinese Bayberry,توت صيني,Fraise chinoise,Árbol de fresa china
Chinese Date,تاريخ صيني,Datte chinoise,Fecha china
Chinese Sausage,نقانق صيني,Saucisse chinoise,Salchicha china
Chinese White Shrimp,الروبيان الأبيض الصيني,Crevette blanche chinoise,Camarón blanco chino
Chinkiang Pot Cover Noodles,نودلز شينكيانج,Nouilles Chinkiang Pot Cover,Noodles Chinkiang pot cover
Chinook,شينوك,Chinook,Chinook
Chinook Salmon,سمك سالمون تشينوك,Saumon Chinook,Salmón real
Chiquibul,,Chiquibul,Chiquibul
Chirimoya,فاكهة القشطة,Chirimoya,Chirimoya
Chives,الثوم المعمر,Ciboulette,Cebollín
Chloride,كلوريد,Chlorure,Cloruro
Chlorinated Maida Flour,دقيق مايدا الكلوريدي,Farine de Maida chlorée,Harina de maida clorada
Chlorine,الكلور,Chlore,Cloro
Chlorine Dioxide,ثاني أكسيد الكلور,Dioxyde de chlore,Dióxido de cloro
Chloropentafluoroethane,كلورو خماسي فلورو الإيثان,Chloropentafluoroéthane,Cloropentafluoroetano
