ENGLISH,ARABIC,FRENCH,CATEGORY
Biangbiang Noodles,نودلز بيانغ بيانغ,Nouilles biáng biáng,
Bible Leaf,أعشاب وتوابل,Menthe-coq,
Bible Leaf Oil,زيت أعشاب وتوابل,Huile de menthe-coq,
Bicarbonate,بيكربونات,Bicarbonate,
Bicarbonate of Soda,بيكربونات الصودا,Bicarbonate de soda,
Bigeye Tuna,تونة كبيرة العين,Thon obèse,
Bigoli,باستا بيغولي,Bigoli,
Bilberry,عنبية,Myrtille,
Biotin,البيوتين,Biotine,
Biphenyl,ثنائي الفينيل,Biphényle,
Birch,التامول,Bouleau,
Birch Beer,شعير التامول,Bière de bouleau,
Bird's Custard Powder,"مسحوق كاسترد ""بيرد""",Poudre Bird's custard,
Biscuit,بسكوت,Biscuit,
Bison,بيسون,Bison,
Bison Grass,عشب البيسون,Herbe de bison,
Bison Meat,لحم البيسون,Viande de bison,
Bisphenol A,ثنائي الفينول أ,Bisphénol A,
Bitter Ale,بيرة مرة,Bière amère,
Bitter Lemon,ليمون مر,Citron amer,
Bitter Melon,بطيخ مر,Melon amer,
Biwa Trout,"سلمون بيوا مرقط
",Truite biwa,
Bixin,بيكسين,Bixine,
Blaand,مشروب بلاند,Blaand,
