ENGLISH,ARABIC,FRENCH,CATEGORY
Corn Gluten,غلوتين الذرة,Gluten de maïs,
Corn Grain,حبة الذرة,Grain de maïs,
Corn Grains,حبوب الذرة,Grains de maïs,
Corn Kernel,نواة الذرة,Grain de mais,
Corn Meal,دقيق الذرة,Farine de maïs,
Corn Oil,زيت الذرة,Huile de maïs,
Corn Semolina,سميد الذرة,Semoule de maïs,
Corn Silk,خيوط حرير الذرة,Soie de maïs,
Corn Silk Extract,مستخلص خيوط حرير الذرة,Extrait de soie de maïs,
Corn Starch,نشاء الذرة,Fécule de maïs,
Corn Sugar,سكر الذرة,Sucre de maïs,
Corn Sugar Vinegar,خل سكر الذرة,Vinaigre de sucre de maïs,
Corn Syrup,شراب الذرة,Sirop de maïs,
Corn Syrup Solids,شراب الذرة الجامد,Solides de sirop de maïs,
Cornbread,خبز الذرة,Pain au maïs,
Corned Beef,اللحم البقري المحفوظ,Bœuf salé,
Corned Beef Pie,فطيرة اللحم المفروم,Tarte au bœuf salé,
Cornfed Chicken,دجاج متغذي على الذرة,Poulet nourri au maïs,
Cornish Pasty,فطيرة الكورنيش,Cornish Pasty,
Cornstarch,نشا الذرة,Fécule de maïs,
Cornstarch Acid Modified,نشاء الذرة ، معدلة الحموضة,Fécule de maïs modifiée à l'acide,
Cornstarch Oxidized,نشاء الذرة ، مأكسد,Fécule de maïs oxydée,
Corsair American Whiskey,ويسكي أمريكي كورساير,Whiskey américain Corsair,
Corzetti,باستا كورزيتي,Corzetti,
Costmary,,Costaire,
Cotija Cheese,جبنة كوتيجا,Fromage Cotija,
Cottage Cheese,جبنة قريش,Cottage cheese,
Cottage Pie,فطيرة جبنة القريش,Tarte Cottage,
Cotton Seed Oil,زيت بذور القطن,Huile de graines de coton,
Country Ham,لحم الخنزير,Jambon de pays,
Courgette,كوسا,Courgette,
Cow's milk,حليب الأبقار,Lait de vache,
Coyol Wine,نبيذ كويول,Vin de coyol,
Coypu,حيوان الكيب,Coypu,
CRA,,Agents de rétention de couleur,
Crab,سلطعون,Crabe,
Crab Apple,تفاح حرجي,Pomme sauvage,
Cracked Wheat,قمح مطحون,Blé concassé,
Cracker Flour,طحين البسكويت,Farine de biscuits,
Crackers,المقرمشات,Biscuits,
Cranberries,التوت البري,Canneberges,
Cranberry,التوت البري,Canneberge,
Cranberry Extract,مستخلص التوت البري,Extrait de canneberge,
Crappie,سمكة الكراب,Crappie,
Crayfish,جراد البحر,Écrevisse,
Cream,كريمة,Crème,
Cream Cheese,جبنة الكريمة,Fromage Frais,
Cream of Tartar,كريم الترتار,Crème tartare,
Cream Pie,فطيرة كريمة,Tarte à La Crème,
Cream Soda,صودا الكريمة,Soda à la crème,
Creamer,مبيض القهوة,Crémier,
Creamery,,Laiterie,
Crème de Noyaux,كريم دي نويو,Crème de Noyaux,
Cress,الرشاد,Cresson,
Creste di Galli,كريست دي جالي,Creste di Galli,
Cresyl Acetate,,Acétate de crésyle,
Crocetin,كروسيتين,Crocetin,
Crocin,كروسين,Crocin,
Crocodile,تمساح,Crocodile,
Croissant,كرواسون,Croissant,
Crosslinked sodium carboxy methyl cellulose,,Carboxyméthylcellulose sodique réticulée,
Crosslinked Sodium Carboxymethylcellulose,,Carboxyméthylcellulose sodique réticulée,
Crumble,فتات,Crumble,
Crumpet,كعكة مسطحة غير محلاة,Crumpet,
Crunchie,مقرمشة,Crunchie,
Crunchy Nut,مكسرات مقرمشة,Noix croquante,
Crushed Wheat,قمح مطحون,Blé concassé,
Cryptoxanthin,كريبتوزانتين,Cryptoxanthine,
Crystalline Fructose,فركتوز بلوري,Fructose Cristalline,
Cuban Bread,خبز كوبي,Pain cubain,
Cuban Pepper,فلفل كوبي,Poivre cubain,
Cubanelle Pepper,فلفل كوبي حلو,Poivre cubanelle,
Cubeb Berry,كبابة,Cubeb Berry,
Cucumber,خيار,Concombre,
Culatello,لحم كولاتيلو المقدد,Culatello,
Cultured,مخمرة,Cultivé,
Cultured Dairy Products,منتجات الألبان مخمرة,Produits laitiers de culture,
Cultured Milk Products,منتجات الحليب المخمرة,Produits laitiers de culture,
Cultus Cod,سمك القد,Morue cultus,
Culurgiones,,Culurgiones,
Cumian,كوميان,Cumian,
Cumian Noodles,نودلز كوميان,Nouilles Cumian,
Cumin,كمون,Cumin,
Cumin Oil,زيت الكمون,Huile de cumin,
Cuminic Aldehyde,,Aldéhyde cuminique,
Cup,كوب,Tasse,
Cup Cake,كعكة مكوكبة,Cup Cake,
Cup Noodle,كأس النودلز,Bol de nouilles,
Cup Noodles,كأس النودلز,Bol de nouilles,
Cupric Sulfate,كبريتات الكبريت,Sulfate cuivrique,
Cupric Sulphate,كبريتات الكبريت,Sulfate de cuivre,
Curcumin,الكركمين,Curcumine,
Curdlan,,Curdlan,
Cured,معالج,Salé,
Curing Salt,ملح معالِج,Sel de traitement,
Curly Wurly,مجعد وملفوف,Curly Wurly,
Currant,كشمش,Groseille,
Curry,كاري,Curry,
Curry Leaf,أوراق الكاري,Feuille de curry,
Curry Powder,مسحوق الكاري,Poudre de curry,
Currywurst Sauce,صلصة كوريوورست,Sauce Currywurst,
Custard,كاسترد,Crème,
Custard Apple,القشطة,Pomme à la crème,
Custard Cream,قشطة كاسترد,Crème pâtissière,
Custard Pie,فطيرة الكاسترد,Tarte à la crème,
Custard Powder,بودرة كاسترد,Poudre de crème,
Custard Tart,تارت الكاسترد,Tarte à la crème,
Cutthroat Trout,سمك السلمون المرقط,Truite fardée,
Cuttlefish,"حبار
",Seiche,
Cuury Pie,فطيرة كيوري,Tarte au cuury,
Cyanocobalamin,,Cyanocobalamine,
Cyclamates,سيكلاميتس,Cyclamates,
Cyclamic Acid,حمض السيكلاميك,Acide cyclamique,
Cyclamic acid and its Na and Ca salts,حمض السيكلاميك وأملاحه الصوديوم و الكالسيوم,Acide cyclamique et ses sels de Na et Ca,
Cyclohexyl Acetate,أسيتات السيكلوهيكسل,Acétate de cyclohexyle,
Cyclohexyl Butyrate,,Butyrate de cyclohexyle,
Cyclohexyl Cinnamate,,Cinnamate de cyclohexyle,
Cyclohexyl Formate,,Formiate de cyclohexyle,
Cyclohexyl Propionate,بروبيونات السيكلوهكسيل,Propionate de cyclohexyle,
Cydonia Seed,بذور سيدونيا,Graine de cydonia,
Cymbopogon,نبات الليمونية,Cymbopogon,
Cymbopogon Citratus,سترات نبات الليمونية,Cymbopogon Citratus,
Cysteine,السيستين,Cystéine,
Cystine,سيستين,Cystine,
D Limonene,د الليمونين,D Limonene,
D1 Alpha tocopherol,د١ ألفا توكوفيرول فيتامين ه,D1 Alpha tocophérol,
Dahi,لبن هندي,Dahi,
Daikon,"فجل أبيض
",Daikon,
Daikon Oroshi,"فجل أبيض
",Daikon Oroshi,
Daily Value,قيمة يومية,Valeur quotidienne,
Damassine,مشروب داماسين,Damassine,
Damiana,دميانة,Damiana,
Damson,خوخ دامسون,Prune,
Damson Gin,جِن دامسون,Damson Gin,
Dandelion,الهندباء,Pissenlit,
Dandelion Leaf,نبات الهندباء,Feuille de pissenlit,
Dandelion Root,جذر الهندباء,Racine de pissenlit,
Danish Agar,أجار دنماركي,Gélose danoise,
Danish Blue Cheese,جبنة دنماركية,Fromage bleu danois,
Daoxiao Noodles,نودلز داو زياو,Daoxiao Noodles,
Dark Chocolate,الشوكولاته الداكنة,Chocolat noir,
Dark Chocolate Hobnobs,الشوكولاتة الداكنة هوبس نوبس,Hobnobs au chocolat noir,
Dasima,عشب البحر,Dasima,
Date,تمر,Date,
Date and Walnut Loaf,رغيف التمر بالجوز,Pain aux dattes et aux noix,
Dates,تمور,,
Decanal,,Décanal,
Decanal Dimethyl Acetate,,Acétate diméthylique décanal,
Decanoic Acid,حمض ديكانويك,Acide décanoïque,
Deep fried,مقلي,Frit,
Deer,الغزال,Cerf,
Defoaming Agents,,Agents antimousse,
Dehydrated,مجفف,Déshydraté,
Dehydrated apples,التفاح المجفف,Pommes déshydratées,
Dehydrated chicken,الدجاج المجفف,Poulet déshydraté,
Dehydrated chicken broth,مرق الدجاج المجفف,Bouillon de poulet déshydraté,
Dehydrated onions,البصل المجفف,Oignons déshydratés,
Dehydroacetic Acid,,Acide déshydroacétique,
Delicata,,Delicata,
Delta tocopherol,فيتامين ه,Delta tocophérol,
Desi Daru,مشروب ديسي دارو,Desi Daru,
Devil's Claw,نبات الكُلَّاب,Griffes du diable,
Dextrin,دكسترين,Dextrine,
Dextrin Roasted Starch,دكسترين النشاء المحمص,Amidon rôti de dextrine,
Dextrose,سكر العنب,Dextrose,
DHA,,Acide déshydroacétique,
Diacetyl,ثنائي الأسيتيل,Diacétyle,
Diacetyl Tartaric Acid Esters of Mono and Diglycerides,,Esters diacétyltartriques de mono et diglycérides,
Dibasic Calcium Phosphate Anhydrous,,Phosphate de calcium dibasique anhydre,
Dibasic Calcium Phosphate Dihydrate,,Phosphate de calcium dibasique déshydraté,
Dicalcium Diphosphate,ديكالسيوم دايفوسفات,Diphosphate dicalcique,
Dicalcium Phosphate Anhydrous,ديكالسيوم فوسفات,Phosphate dicalcique anhydre,
Dicalcium Phosphate Dihydrate,ديكالسيوم فوسفات، دايهايدرات,Phosphate dicalcique déshydraté,
Diced,مقطع على شكل مكعبات,En dés,
Diet Coke,دايت كوكاكولا,Coca light,
Diet Moutain Dew,دايت ماونتين ديو,Diet Moutain Dew,
Diet Pepsi,دايت بيبسي,Diet Pepsi,
Dietary Fiber,ألياف لبنية,Fibre alimentaire,
Dietary Fibre,ألياف لبنية,Fibre alimentaire,
Diethyl Sebacate,سيباكيت دايثيل,Sébacate de diéthyle,
Digestive,مهضوم,Digestif,
Diglyceride,دايجليسريد,Diglycéride,
Dijon Mustard,خردل ديجون,Moutarde de Dijon,
Dijon Wholegrain Mustard,خردل ديجون حبة كاملة,Moutarde à l'ancienne de Dijon,
Dilauryl Thiodipropionate,دايلاوريل الثيوديبروبيونات,Thiodipropionate de dilauryle,
Dill,الشبت,Aneth,
Dill and Its Derivatives,الشبت ومشتقاته,Aneth et ses dérivés,
Dill Seed,بذور الشبت,Graine d'aneth,
Dill Weed,حشائش الشبت,Aneth,
Dimethyl Dicarbonate,ثنائي ميثيل ثنائي كربونات,Dicarbonate de diméthyle,
Dimethylpolysiloxane,ثنائي ميثيل بوليسيلوكسان,Diméthylpolysiloxane,
Dioctyl Sodium Sulfosuccinate,,Sulfosuccinate de dioctyle de sodium,
Dioctyl Sodium Sulphosuccinate,,Sulfosuccinate de dioctyl Sodium,
Diphenyl,ثنائي الفينيل,Diphényle,
Diphosphates,ثنائي الفوسفات,Diphosphates,
Dipotassium Guanylate,,Guanylate de dipotassium,
Dipotassium Inosinate,,Inosinate dipotassique,
Dipotassium Monohydrogen Orthophosphate,,Orthophosphate de dipotassium monohydrogène,
Dipotassium Monophosphate,,Monophosphate dipotassique,
Dipotassium Phosphate,,Phosphate dipotassique,
Disodium 5' Inosinate,,5' Inosinate disodique,
Disodium 5' ribonucleotides,,5' ribonucléotides disodiques,
Disodium Calcium EDTA,,Calcium dissodique EDTA,
Disodium Dihydrogen EDTA,,Dihydrogène disodique EDTA,
Disodium Dihydrogen Pyrophosphate,,Pyrophosphate de dihydrogène disodique,
Disodium Diphosphate,,Diphosphate disodique,
Disodium diphosphate,,,
Disodium Eththylenediaminetetraacetate,,Ethylylènediaminetétraacétate disodique,
Disodium Guanylate,,Guanylate disodique,
Disodium Inosinate,,Inosinate disodique,
Disodium Monohydrogen Orthophosphate,,Orthophosphate disodique monohydrogène,
Disodium Monohydrogen Orthophosphate Dihydrate,,Orthodosphate disodique orthophosphate déshydraté,
Disodium Monophosphate,,Monophosphate disodique,
Disodium Phosphate,,Phosphate disodique,
Disodium Phosphate Duohydrate,,Phosphate disodique duohydraté,
Disodium Tartrate,,Tartrate disodique,
Dispersants,,Dispersants,
Distarch Phosphate,,Phosphate d'amidon,
Distearyl Thiodipropionate,,Thiodipropionate de distéaryle,
Distilled Mead,مشروب ميد المقطر,Mead distillé,
Distilled Monoglyceride,,Monoglycéride distillé,
Distilled Vinegar,خل مقطر,Vinaigre distillé,
Ditali,باستا ديتاليني,Ditali,
Ditani,,Ditani,
DMDC,,Dicarbonate de diméthyle,
Dodecyl Gallate,,Dodécyl Gallate,
Dog,كلب,Chien,
Dogfish,تونة,Chien de mer,
Dogtooth Tuna,تونة بيضاء,Thon à dents de chien,
Dolphin,دلفين,Dauphin,
Domestic Cat,قطة محلية,Chat domestique,
Domestic Duck,بطة محلية,Canard domestique,
Domestic Goat,ماعز محلي,Chèvre domestique,
Domestic Goose,وز محلية,Oie domestique,
Domestic Pig,خنزير محلي,Porc domestique,
Domestic Pigeon,حمام محلي,Pigeon domestique,
Domestic Sheep,خروف محلي,Mouton domestique,
Domestic Turkey,ديك رومي محلي,Dinde domestique,
Domesticated Quail,سمان محلي,Caille domestique,
Domesticated Yak,ثور محلي,Yak domestiqué,
Donderet,باستا محلية,Donderet,
Donkey,حمار,Âne,
Doogh,شنينة,Dough,
Dorade,سمك دوراد,Dorade,
Dory,سمك الدوري,Dory,
Dotori Guksu,نودلز كورية من الذرة,Dotori Guksu,
Dotori Guksu Noodles,نودلز كورية من الذرة,Nouilles Guksu Dotori,
Double,ثنائي,Double,
Double Decker,باص بكابينتين,Double Decker,
Dough Conditioner,محسن عجين,Conditionneur de pâte,
Dough Strengtheners,مقوي عجينة,Raffermisseurs de pâte,
Doughnut,دونات,Donut,
Dover Sole,سمك دوفر,Sole de Dover,
Dr Pepper,دكتور بيبر,Dr Pepper,
Dragon Beard Noodles,نودلز صينية,Nouilles barbe de dragon,
Dragonfruit,فاكهة الباتايا,Fruit du dragon,
Dressing,صلصة سلطة,Pansement,
Dried,مجفف,Séché,
Dried Buttermilk,زبدة حليب مجففة,Babeurre séché,
Dried Chives,بصل أخضر مجفف,Ciboulette séchée,
Dried coconut,جوز هند مجفف,Noix de coco séchée,
Dried Fenugreek Leaves,أوراق حلبة مجففة,Feuilles de fenugrec séchées,
Dried Fruit,فواكه مجففة,Fruit sec,
Dried Milk,حليب مجفف,Lait séché,
Dried Papaya,بابايا مجففة,Papaye séchée,
Dried Pineapple,أناناس مجفف,Ananas séché,
Dried Plum,مشمش مجفف,Prune séchée,
Dried Rose Petals,زهورات,Pétales de roses séchées,
Dried Skim Milk,حليب خالي من الدهن مجفف,Lait écrémé séché,
Dried Tomatoes,طماطم مجففة,Tomates séchées,
Dried Vegetables,خضار مجففة,Légumes secs,
Drinking Chocolate,مشروب الشوكولاتة,Chocolat à boire,
Droewors,نقانق جنوب أفريقية,Droewors,
Drum,خضار جنوب آسيوية,Sciaenidae,
Dry Buttermilk,زبدة حليب مجففة,Babeurre sec,
Dry Ice,ثلج جاف,Glace carbonique,
Dry Mango Powder,بودرة المانجو المجفف,Poudre de mangue séchée,
Dry Milled Barley,دقيق قمح بارلي المجفف,Orge séchée,
Dry Whole Milk,حليب كامل الدسم مجفف,Lait entier sec,
Duck,بطة,Canard,
Dundee Cake,كيكة اللوز,Gâteau Dundee,
Dungeness Crab,سلطعون بحري,Crabe dormeur,
Durian,فاكهة تايلاندية,Durian,
Durum Flour,قمح صلب,Farine de blé dur,
Durum Granular,حبيبات القمح الصلب,Granule de blé dur,
Durum Semolina,سميد,Semoule de blé dur,
Durum Wheat,قمح صلب,Blé dur,
Dutch Gin,جين ألماني,Gin néerlandais,
E Number,رقم مضاف غذائي,Numéros E,
E100,مضاف غذائي E100,E100,
E1000 E1599,مضاف غذائي E1000 E1599,E1000 E1599,
E101i,مضاف غذائي E101i,E101i,
E101ii,مضاف غذائي E101ii,E101ii,
E102,مضاف غذائي E102,E102,
E104,مضاف غذائي E104,E104,
E110,مضاف غذائي E110,E110,
E1103,مضاف غذائي E1103,E1103,
E1105,مضاف غذائي E1105,E1105,
E120,مضاف غذائي E120,E120,
E1200,مضاف غذائي E1200,E1200,
E1201,مضاف غذائي E1201,E1201,
E1202,مضاف غذائي E1202,E1202,
E1203,مضاف غذائي E1203,E1203,
E1204,مضاف غذائي E1204,E1204,
E1205,مضاف غذائي E1205,E1205,
E1206,مضاف غذائي E1206,E1206,
E1207,مضاف غذائي E1207,E1207,
E1208,مضاف غذائي E1208,E1208,
E1209,مضاف غذائي E1209,E1209,
E122,مضاف غذائي E122,E122,
E123,مضاف غذائي E123,E123,
E124,مضاف غذائي E124,E124,
E127,مضاف غذائي E127,E127,
E129,مضاف غذائي E129,E129,
E131,مضاف غذائي E131,E131,
E132,مضاف غذائي E132,E132,
E133,مضاف غذائي E133,E133,
E140,مضاف غذائي E140,E140,
E1404,مضاف غذائي E1404,E1404,
E141,مضاف غذائي E141,E141,
E1410,مضاف غذائي E1410,E1410,
E1412,مضاف غذائي E1412,E1412,
E1413,مضاف غذائي E1413,E1413,
E1414,مضاف غذائي E1414,E1414,
E142,مضاف غذائي E142,E142,
E1420,مضاف غذائي E1420,E1420,
E1422,مضاف غذائي E1422,E1422,
E1440,مضاف غذائي E1440,E1440,
E1442,مضاف غذائي E1442,E1442,
E1450,مضاف غذائي E1450,E1450,
E1451,مضاف غذائي E1451,E1451,
E1452,مضاف غذائي E1452,E1452,
E1505,مضاف غذائي E1505,E1505,
E150a,مضاف غذائي E150a,E150a,
E150b,مضاف غذائي E150b,E150b,
E150c,مضاف غذائي E150c,E150c,
E150d,مضاف غذائي E150d,E150d,
E151,مضاف غذائي E151,E151,
E1517,مضاف غذائي E1517,E1517,
E1518,مضاف غذائي E1518,E1518,
E1519,مضاف غذائي E1519,E1519,
E1520,مضاف غذائي E1520,E1520,
E1521,مضاف غذائي E1521,E1521,
E153,مضاف غذائي E153,E153,
E155,مضاف غذائي E155,E155,
E160a,مضاف غذائي E160a,E160a,
E160b,مضاف غذائي E160b,E160b,
E160c,مضاف غذائي E160c,E160c,
E160d,مضاف غذائي E160d,E160d,
E160e,مضاف غذائي E160e,E160e,
E161b,مضاف غذائي E161b,E161b,
E161g,مضاف غذائي E161g,E161g,
E162,مضاف غذائي E162,E162,
E163,مضاف غذائي E163,E163,
E170,مضاف غذائي E170,E170,
E171,مضاف غذائي E171,E171,
E172,مضاف غذائي E172,E172,
E173,مضاف غذائي E173,E173,
E174,مضاف غذائي E174,E174,
E175,مضاف غذائي E175,E175,
E180,مضاف غذائي E180,E180,
E200,مضاف غذائي E200,E200,
E202,مضاف غذائي E202,E202,
E210,مضاف غذائي E210,E210,
E211,مضاف غذائي E211,E211,
E212,مضاف غذائي E212,E212,
E213,مضاف غذائي E213,E213,
E214,مضاف غذائي E214,E214,
E215,مضاف غذائي E215,E215,
E218,مضاف غذائي E218,E218,
E219,مضاف غذائي E219,E219,
E220,مضاف غذائي E220,E220,
E221,مضاف غذائي E221,E221,
E222,مضاف غذائي E222,E222,
E223,مضاف غذائي E223,E223,
E224,مضاف غذائي E224,E224,
E226,مضاف غذائي E226,E226,
E227,مضاف غذائي E227,E227,
E228,مضاف غذائي E228,E228,
E234,مضاف غذائي E234,E234,
E235,مضاف غذائي E235,E235,
E239,مضاف غذائي E239,E239,
E242,مضاف غذائي E242,E242,
E243,مضاف غذائي E243,E243,
E249,مضاف غذائي E249,E249,
E250,مضاف غذائي E250,E250,
E251,مضاف غذائي E251,E251,
E252,مضاف غذائي E252,E252,
E260,مضاف غذائي E260,E260,
E261,مضاف غذائي E261,E261,
E262,مضاف غذائي E262,E262,
E263,مضاف غذائي E263,E263,
E270,مضاف غذائي E270,E270,
E280,مضاف غذائي E280,E280,
E281,مضاف غذائي E281,E281,
E282,مضاف غذائي E282,E282,
E283,مضاف غذائي E283,E283,
E284,مضاف غذائي E284,E284,
E285,مضاف غذائي E285,E285,
E290,مضاف غذائي E290,E290,
E296,مضاف غذائي E296,E296,
E297,مضاف غذائي E297,E297,
E300,مضاف غذائي E300,E300,
E301,مضاف غذائي E301,E301,
E302,مضاف غذائي E302,E302,
E304,مضاف غذائي E304,E304,
E306,مضاف غذائي E306,E306,
E307,مضاف غذائي E307,E307,
E308,مضاف غذائي E308,E308,
E309,مضاف غذائي E309,E309,
E310,مضاف غذائي E310,E310,
E315,مضاف غذائي E315,E315,
E316,مضاف غذائي E316,E316,
E319,مضاف غذائي E319,E319,
E320,مضاف غذائي E320,E320,
E321,مضاف غذائي E321,E321,
E322,مضاف غذائي E322,E322,
E325,مضاف غذائي E325,E325,
E326,مضاف غذائي E326,E326,
E327,مضاف غذائي E327,E327,
E330,مضاف غذائي E330,E330,
E331,مضاف غذائي E331,E331,
E332,مضاف غذائي E332,E332,
E333,مضاف غذائي E333,E333,
E334,مضاف غذائي E334,E334,
E335,مضاف غذائي E335,E335,
E336,مضاف غذائي E336,E336,
E337,مضاف غذائي E337,E337,
E338,مضاف غذائي E338,E338,
E339,مضاف غذائي E339,E339,
E340,مضاف غذائي E340,E340,
E341,مضاف غذائي E341,E341,
E343,مضاف غذائي E343,E343,
E350,مضاف غذائي E350,E350,
E351,مضاف غذائي E351,E351,
E352,مضاف غذائي E352,E352,
E353,مضاف غذائي E353,E353,
E354,مضاف غذائي E354,E354,
E355,مضاف غذائي E355,E355,
E356,مضاف غذائي E356,E356,
E357,مضاف غذائي E357,E357,
E363,مضاف غذائي E363,E363,
E380,مضاف غذائي E380,E380,
E385,مضاف غذائي E385,E385,
E392,مضاف غذائي E392,E392,
E400,مضاف غذائي E400,E400,
E401,مضاف غذائي E401,E401,
E402,مضاف غذائي E402,E402,
E403,مضاف غذائي E403,E403,
E404,مضاف غذائي E404,E404,
E405,مضاف غذائي E405,E405,
E406,مضاف غذائي E406,E406,
E407,مضاف غذائي E407,E407,
E407a,مضاف غذائي E407a,E407a,
E410,مضاف غذائي E410,E410,
E412,مضاف غذائي E412,E412,
E413,مضاف غذائي E413,E413,
E414,مضاف غذائي E414,E414,
E415,مضاف غذائي E415,E415,
E416,مضاف غذائي E416,E416,
E417,مضاف غذائي E417,E417,
E418,مضاف غذائي E418,E418,
E420i,مضاف غذائي E420i,E420i,
E420ii,مضاف غذائي E420ii,E420ii,
E421,مضاف غذائي E421,E421,
E422,مضاف غذائي E422,E422,
E423,مضاف غذائي E423,E423,
E425,مضاف غذائي E425,E425,
E426,مضاف غذائي E426,E426,
E427,مضاف غذائي E427,E427,
E431,مضاف غذائي E431,E431,
E432,مضاف غذائي E432,E432,
E433,مضاف غذائي E433,E433,
E434,مضاف غذائي E434,E434,
E435,مضاف غذائي E435,E435,
E436,مضاف غذائي E436,E436,
E440,مضاف غذائي E440,E440,
E442,مضاف غذائي E442,E442,
E444,مضاف غذائي E444,E444,
E445,مضاف غذائي E445,E445,
E450,مضاف غذائي E450,E450,
E451,مضاف غذائي E451,E451,
E452,مضاف غذائي E452,E452,
E459,مضاف غذائي E459,E459,
E460,مضاف غذائي E460,E460,
E461,مضاف غذائي E461,E461,
E462,مضاف غذائي E462,E462,
E463,مضاف غذائي E463,E463,
E464,مضاف غذائي E464,E464,
E465,مضاف غذائي E465,E465,
E466,مضاف غذائي E466,E466,
E468,مضاف غذائي E468,E468,
E469,مضاف غذائي E469,E469,
E470a,مضاف غذائي E470a,E470a,
E470b,مضاف غذائي E470b,E470b,
E471,مضاف غذائي E471,E471,
E472a,مضاف غذائي E472a,E472a,
E472b,مضاف غذائي E472b,E472b,
E472c,مضاف غذائي E472c,E472c,
E472d,مضاف غذائي E472d,E472d,
E472e,مضاف غذائي E472e,E472e,
E472f,مضاف غذائي E472f,E472f,
E473,مضاف غذائي E473,E473,
E474,مضاف غذائي E474,E474,
E475,مضاف غذائي E475,E475,
E476,مضاف غذائي E476,E476,
E477,مضاف غذائي E477,E477,
E479b,مضاف غذائي E479b,E479b,
E481,مضاف غذائي E481,E481,
E482,مضاف غذائي E482,E482,
E483,مضاف غذائي E483,E483,
E491,مضاف غذائي E491,E491,
E492,مضاف غذائي E492,E492,
E493,مضاف غذائي E493,E493,
E494,مضاف غذائي E494,E494,
E495,مضاف غذائي E495,E495,
E499,مضاف غذائي E499,E499,
E500,مضاف غذائي E500,E500,
E501,مضاف غذائي E501,E501,
E503,مضاف غذائي E503,E503,
E504,مضاف غذائي E504,E504,
E507,مضاف غذائي E507,E507,
E508,مضاف غذائي E508,E508,
E509,مضاف غذائي E509,E509,
E511,مضاف غذائي E511,E511,
E512,مضاف غذائي E512,E512,
E513,مضاف غذائي E513,E513,
E514,مضاف غذائي E514,E514,
E515,مضاف غذائي E515,E515,
E516,مضاف غذائي E516,E516,
E517,مضاف غذائي E517,E517,
E520,مضاف غذائي E520,E520,
E521,مضاف غذائي E521,E521,
E522,مضاف غذائي E522,E522,
E523,مضاف غذائي E523,E523,
E524,مضاف غذائي E524,E524,
E525,مضاف غذائي E525,E525,
E526,مضاف غذائي E526,E526,
E527,مضاف غذائي E527,E527,
E528,مضاف غذائي E528,E528,
E529,مضاف غذائي E529,E529,
E530,مضاف غذائي E530,E530,
E535,مضاف غذائي E535,E535,
E536,مضاف غذائي E536,E536,
E538,مضاف غذائي E538,E538,
E541,مضاف غذائي E541,E541,
E551,مضاف غذائي E551,E551,
E552,مضاف غذائي E552,E552,
E553ai,مضاف غذائي E553ai,E553ai,
E553aii,مضاف غذائي E553aii,E553aii,
E553b,مضاف غذائي E553b,E553b,
E554,مضاف غذائي E554,E554,
E555,مضاف غذائي E555,E555,
E556,مضاف غذائي E556,E556,
E559,مضاف غذائي E559,E559,
E570,مضاف غذائي E570,E570,
E574,مضاف غذائي E574,E574,
E575,مضاف غذائي E575,E575,
E576,مضاف غذائي E576,E576,
E577,مضاف غذائي E577,E577,
E578,مضاف غذائي E578,E578,
E579,مضاف غذائي E579,E579,
E585,مضاف غذائي E585,E585,
E586,مضاف غذائي E586,E586,
E620,مضاف غذائي E620,E620,
E621,مضاف غذائي E621,E621,
E622,مضاف غذائي E622,E622,
E623,مضاف غذائي E623,E623,
E624,مضاف غذائي E624,E624,
E625,مضاف غذائي E625,E625,
E626,مضاف غذائي E626,E626,
E627,مضاف غذائي E627,E627,
E628,مضاف غذائي E628,E628,
E629,مضاف غذائي E629,E629,
E630,مضاف غذائي E630,E630,
E631,مضاف غذائي E631,E631,
E632,مضاف غذائي E632,E632,
E633,مضاف غذائي E633,E633,
E634,مضاف غذائي E634,E634,
E635,مضاف غذائي E635,E635,
E640,مضاف غذائي E640,E640,
E641,مضاف غذائي E641,E641,
E650,مضاف غذائي E650,E650,
E900,مضاف غذائي E900,E900,
E901,مضاف غذائي E901,E901,
E902,مضاف غذائي E902,E902,
E903,مضاف غذائي E903,E903,
E904,مضاف غذائي E904,E904,
E905,مضاف غذائي E905,E905,
E907,مضاف غذائي E907,E907,
E914,مضاف غذائي E914,E914,
E920,مضاف غذائي E920,E920,
E927b,مضاف غذائي E927b,E927b,
E938,مضاف غذائي E938,E938,
E939,مضاف غذائي E939,E939,
E941,مضاف غذائي E941,E941,
E942,مضاف غذائي E942,E942,
E943a,مضاف غذائي E943a,E943a,
E943b,مضاف غذائي E943b,E943b,
E944,مضاف غذائي E944,E944,
E948,مضاف غذائي E948,E948,
E949,مضاف غذائي E949,E949,
E950,مضاف غذائي E950,E950,
E951,مضاف غذائي E951,E951,
E952,مضاف غذائي E952,E952,
E953,مضاف غذائي E953,E953,
E954,مضاف غذائي E954,E954,
E955,مضاف غذائي E955,E955,
E957,مضاف غذائي E957,E957,
E959,مضاف غذائي E959,E959,
E960,مضاف غذائي E960,E960,
E961,مضاف غذائي E961,E961,
E962,مضاف غذائي E962,E962,
E964,مضاف غذائي E964,E964,
E965i,مضاف غذائي E965i,E965i,
E965ii,مضاف غذائي E965ii,E965ii,
E966,مضاف غذائي E966,E966,
E967,مضاف غذائي E967,E967,
E968,مضاف غذائي E968,E968,
E969,مضاف غذائي E969,E969,
E999,مضاف غذائي E999,E999,
Earth Apple,تفاح الأرض,Pomme de terre,
